iter	Passed	Remaining
0	354	354401
1	367	183355
2	379	126136
3	389	96947
4	400	79655
5	411	68109
6	420	59622
7	430	53368
8	443	48829
9	454	45006
10	466	41955
11	477	39344
12	490	37237
13	504	35563
14	515	33882
15	527	32462
16	540	31245
17	554	30227
18	567	29280
19	583	28594
20	590	27543
21	597	26562
22	602	25594
23	606	24654
24	610	23793
25	615	23040
26	618	22306
27	622	21624
28	626	20991
29	631	20405
30	635	19852
31	639	19351
32	645	18918
33	650	18488
34	655	18080
35	662	17727
36	666	17354
37	671	16995
38	676	16680
39	682	16378
40	687	16085
41	695	15861
42	701	15603
43	707	15376
44	712	15116
45	717	14889
46	723	14672
47	729	14464
48	734	14258
49	739	14058
50	748	13922
51	753	13730
52	757	13533
53	761	13333
54	765	13144
55	769	12969
56	773	12789
57	776	12616
58	781	12457
59	785	12303
60	789	12151
61	793	12001
62	797	11866
63	801	11722
64	805	11586
65	809	11450
66	812	11318
67	816	11197
68	820	11072
69	824	10952
70	828	10840
71	832	10728
72	836	10618
73	840	10516
74	844	10416
75	848	10318
76	852	10220
77	856	10122
78	860	10027
79	864	9936
80	867	9845
81	871	9758
82	875	9671
83	879	9589
84	883	9506
85	886	9425
86	890	9346
87	894	9272
88	899	9202
89	903	9132
90	906	9059
91	911	8991
92	914	8921
93	918	8851
94	922	8786
95	926	8723
96	929	8657
97	933	8593
98	937	8531
99	942	8478
100	945	8416
101	949	8355
102	953	8299
103	956	8243
104	960	8187
105	964	8132
106	968	8081
107	972	8028
108	975	7976
109	979	7925
110	983	7879
111	989	7848
112	996	7821
113	1001	7785
114	1006	7742
115	1010	7702
116	1014	7659
117	1019	7618
118	1023	7574
119	1027	7532
120	1034	7513
121	1038	7473
122	1043	7437
123	1047	7401
124	1051	7362
125	1056	7327
126	1060	7291
127	1065	7257
128	1070	7230
129	1076	7201
130	1081	7173
131	1086	7147
132	1091	7118
133	1096	7084
134	1100	7052
135	1104	7018
136	1109	6990
137	1114	6961
138	1118	6931
139	1123	6900
140	1128	6873
141	1133	6846
142	1137	6816
143	1142	6793
144	1147	6765
145	1151	6736
146	1156	6709
147	1160	6682
148	1165	6658
149	1170	6630
150	1175	6608
151	1179	6581
152	1184	6554
153	1189	6536
154	1194	6512
155	1199	6487
156	1203	6464
157	1208	6440
158	1213	6419
159	1218	6396
160	1223	6374
161	1227	6350
162	1232	6326
163	1236	6305
164	1241	6282
165	1246	6261
166	1253	6250
167	1257	6229
168	1262	6207
169	1269	6195
170	1273	6174
171	1278	6152
172	1282	6132
173	1287	6109
174	1291	6088
175	1296	6068
176	1300	6046
177	1304	6025
178	1309	6004
179	1314	5988
